id,user_id,product_id,action_type,duration,created_at
30255,104,1183,collect,29,2026-03-04T12:53:02
30256,124,1347,cart,27,2026-03-04T12:53:02
30257,159,1012,collect,75,2026-03-04T12:53:02
30258,99,1151,view,126,2026-03-04T12:53:02
30260,148,1254,cart,211,2026-03-04T12:53:02
30261,49,1176,collect,79,2026-03-04T12:53:02
30262,33,1345,view,66,2026-03-04T12:53:02
30263,179,1119,view,228,2026-03-04T12:53:02
30264,84,1225,purchase,291,2026-03-04T12:53:02
30265,81,1191,view,59,2026-03-04T12:53:02
30266,206,1434,collect,222,2026-03-04T12:53:02
30267,103,1449,view,171,2026-03-04T12:53:02
30268,52,1107,view,106,2026-03-04T12:53:02
30269,101,1360,collect,258,2026-03-04T12:53:02
30270,141,1368,view,114,2026-03-04T12:53:02
30271,62,1309,view,91,2026-03-04T12:53:02
30272,27,1444,purchase,194,2026-03-04T12:53:02
30273,192,1438,cart,158,2026-03-04T12:53:02
30274,50,1234,cart,36,2026-03-04T12:53:02
30275,174,1419,purchase,199,2026-03-04T12:53:02
30276,9,1051,view,219,2026-03-04T12:53:02
30277,15,1319,collect,215,2026-03-04T12:53:02
30278,127,1145,purchase,267,2026-03-04T12:53:02
30279,200,1124,collect,85,2026-03-04T12:53:02
30280,29,1427,view,29,2026-03-04T12:53:02
30281,138,1217,view,33,2026-03-04T12:53:02
30282,38,1401,view,183,2026-03-04T12:53:02
30283,88,1480,purchase,222,2026-03-04T12:53:02
30284,184,1389,view,131,2026-03-04T12:53:02
30285,115,1251,collect,107,2026-03-04T12:53:02
30286,30,1386,collect,185,2026-03-04T12:53:02
30287,150,1153,view,223,2026-03-04T12:53:02
30288,4,1436,purchase,289,2026-03-04T12:53:02
30289,197,1264,view,106,2026-03-04T12:53:02
30290,17,1068,view,299,2026-03-04T12:53:02
30291,209,1388,collect,52,2026-03-04T12:53:02
30292,99,1495,view,145,2026-03-04T12:53:02
30293,68,1070,view,199,2026-03-04T12:53:02
30294,28,1440,purchase,136,2026-03-04T12:53:02
30295,80,1037,cart,278,2026-03-04T12:53:02
30296,89,1451,cart,173,2026-03-04T12:53:02
30297,129,1169,collect,52,2026-03-04T12:53:02
30298,177,1408,view,11,2026-03-04T12:53:02
30299,14,1157,view,7,2026-03-04T12:53:02
30300,23,1219,purchase,88,2026-03-04T12:53:02
30301,94,1456,cart,292,2026-03-04T12:53:02
30302,129,1020,cart,50,2026-03-04T12:53:02
30303,63,1283,collect,171,2026-03-04T12:53:02
30304,169,1209,view,18,2026-03-04T12:53:02
30305,196,1489,view,236,2026-03-04T12:53:02
30306,180,1164,cart,24,2026-03-04T12:53:02
30307,140,1066,view,91,2026-03-04T12:53:02
30308,37,1379,view,226,2026-03-04T12:53:02
30309,200,1125,collect,293,2026-03-04T12:53:02
30310,158,1250,view,249,2026-03-04T12:53:02
30311,25,1281,view,77,2026-03-04T12:53:02
30312,128,1393,collect,114,2026-03-04T12:53:02
30313,9,1463,view,10,2026-03-04T12:53:02
30314,71,1450,view,255,2026-03-04T12:53:02
30315,50,1184,view,48,2026-03-04T12:53:02
30316,44,1249,cart,244,2026-03-04T12:53:02
30317,143,1149,view,241,2026-03-04T12:53:02
30318,131,1388,collect,219,2026-03-04T12:53:02
30319,41,1413,view,201,2026-03-04T12:53:02
30320,69,1324,view,114,2026-03-04T12:53:02
30321,118,1048,view,184,2026-03-04T12:53:02
30322,171,1412,cart,194,2026-03-04T12:53:02
30323,163,1196,cart,93,2026-03-04T12:53:02
30324,98,1459,collect,242,2026-03-04T12:53:02
30325,136,1393,collect,294,2026-03-04T12:53:02
30326,177,1052,collect,104,2026-03-04T12:53:02
30327,40,1015,cart,295,2026-03-04T12:53:02
30328,152,1376,view,89,2026-03-04T12:53:02
30329,200,1264,purchase,172,2026-03-04T12:53:02
30330,139,1299,cart,269,2026-03-04T12:53:02
