id,title,category,style,price,stock,sales_count,is_on_sale,tags
1003,Loosegear 短袖,上衣,正式,38.0,107,7648,1,"显瘦,宽松,纯色"
1004,Loosegear 短袖 款式：0084-BLK 尺码：L,上衣,复古,468.75,281,6063,1,"显瘦,宽松,百搭"
1005,Under Armour 男士 HeatGear®压缩短袖 T 恤,上衣,森系,444.98,134,7892,1,"显瘦,宽松,纯色"
1006,玛格丽·麦克达菲·惠特利饰演,配饰,运动,17.95,296,3206,1,"百搭,时尚,小众"
1007,Muk Luks 女式斯堪的纳维亚多绒球流苏头盔，象牙色/冬绿色，一种尺寸,配饰,休闲,389.17,53,2987,1,"百搭,小众,精致"
1008,NCAA 世界之巅俄克拉荷马快进队青年深红色基本徽标 1 合身帽子,上衣,运动,10.91,42,1150,1,"纯色,显瘦,宽松"
1009,摄影手套 - 中号,配饰,休闲,256.16,187,1649,1,"小众,精致,时尚"
1010,Underarmour Loosegear 无袖,上衣,运动,426.26,203,2440,1,"百搭,宽松,纯色"
1011,导向装置&reg;高 9 盎司。麂皮衬衫，酒色，XLT,上衣,简约,547.62,39,5571,1,"纯色,百搭,宽松"
1012,GUID GEAR 麂皮衬衫，酒红色，LG,上衣,森系,160.87,219,1837,1,"显瘦,百搭,宽松"
1013,比米尼湾激流帽 卡其色、卡其色、M/L,配饰,复古,536.59,61,6980,1,"时尚,小众,百搭"
1014,Danskin 女式 Plus Supplex 莱卡工字背文胸上衣，白色，1 件,上衣,运动,402.47,289,4781,1,"宽松,纯色,百搭"
1015,Danskin 女式棉质七分裤，希瑟灰色混凝土，中号,裤子,街头,66.92,282,2712,1,"显瘦,修身,高腰"
1016,Danskin 女式 Supplex 及踝打底裤,裤子,街头,568.47,20,753,1,"修身,显瘦,高腰"
1017,Danskin 女式 Supplex 七分裤,裤子,正式,216.58,133,1934,1,"显瘦,休闲,高腰"
1018,Danskin 女式 Supplex 及踝打底裤,裤子,复古,399.77,139,7299,1,"显瘦,修身,高腰"
